app_text_home,Casa
app_text_register_for_fingerprint_details,Vuoi registrare questo account per la funzionalità delle impronte digitali. Una volta fatto, è possibile accedere a questo account senza utilizzare l'ID e -mail o la password semplicemente utilizzando la verifica delle impronte digitali.
app_text_register,Registrati
app_text_fingerprint_not_available,L'autenticazione delle impronte digitali non è disponibile in questo dispositivo!
app_text_fingerprint_not_enrolled,Nessuna impronta digitale iscritta al dispositivo.
app_text_android_marshmallow_required,Atleast Android Marshmallow è necessario per supportare l'autenticazione delle impronte digitali.
app_text_fingerprint_error_try_again,C'è qualche errore con l'impronta digitale. Riprova o continua senza impronta digitale!
app_text_fingerprint_wipe_sensor_try_again,Potrebbe esserci un po 'di polvere sul sensore di impronte digitali. Per favore, asciugalo e riprova.
app_text_skip_and_continue,Salta e continua
app_text_verify,Verificare
app_text_get_otp,Ottieni OTP
app_text_mobile_number,Numero di cellulare
app_text_mobile_number_optional,Numero di cellulare (facoltativo)
app_text_invalid_phone_number,Per favore, inserire un numero valido
app_text_error_number_verification,Il numero di cellulare non poteva essere verificato! Riprova con il numero OTP corretto!
app_text_phone_number_already_exists,Il numero di telefono è già registrato. Per favore riprova con un altro numero di telefono!
app_text_number_verification,Verifica del numero
app_text_number_verification_description,È necessario verificare il numero di telefono. Inserisci il numero di telefono e invia
app_text_login_with_phone_number,Accedi con il numero di telefono
app_text_forget_password_description,Immettere l'indirizzo e-mail o il numero di telefono associato al tuo account.
app_text_enter_email_or_mobile_number,Inserisci il numero di posta elettronica o di cellulare
app_text_phone_number_change_message,Un numero di telefono è già registrato con questo account. Puoi solo modificare il numero di contatto. Si prega di inserire il numero di telefono valido.
app_text_enter_otp,Immettere OTP
app_text_review_your_order,Rivedere il tuo ordine
app_text_attributes,Attributi
entry_company,Azienda
entry_address_1,Indirizzo 1
entry_address_2,Indirizzo 2
entry_city,Città
entry_postcode,Codice postale
entry_country,Paese
app_text_label_address,Indirizzo
app_text_label_country,No
app_text_label_phone,Numero di telefono
app_text_select_all_options,Seleziona tutte le opzioni
app_text_sort_asc,A-z
app_text_sort_desc,Z-a
phone_number_not_exist_message,Il numero di cellulare non esiste nel database
phone_number_exist_message,Il numero di cellulare esiste nel database
password_update_message,Aggiornamento della password correttamente
app_text_continue_to_checkout_click_msg,Puoi controllare i prodotti nel carrello semplicemente facendo clic sul pulsante "Continua a controllare"!
app_text_cart_tab,Carrello
app_text_search,Ricerca
app_text_msg_empty_wishlist,La tua lista dei desideri è vuota
app_text_your_wishlist_is_empty,La tua lista dei desideri è vuota!
app_text_percent_off,% spento
app_text_update_address_if_exists,Puoi aggiornare l'indirizzo di spedizione o scegliere qualsiasi altro se esiste!
app_text_press_back_again_to_exit,Premi di nuovo per uscire
app_text_please_login,Accedete, per favore
app_text_related_products,prodotti correlati
app_text_view_reviews,Visualizza le recensioni
app_text_write_reviews,Scrivi recensioni
app_text_please_fill_all_details,Si prega di compilare tutti i dettagli
app_text_close,Chiudere
app_text_add_review,Aggiungi recensione
app_text_write_a_review,Scrivere una recensione
app_text_name,Nome
app_text_title,Titolo
app_text_number_of_reviews,Numero di recensioni
app_text_minimum_rating,Si prega di aggiungere il minimo ratin
app_text_error,Errore
app_text_no_reviews,Nessuna recensione
app_text_place_your_finger_on_sensor,Metti il ​​dito sul sensore
text_browser_payment_method_success_msg,Successo: il tuo ordine è stato effettuato. Si prega di tornare all'app.
text_browser_payment_method_failure_msg,Fallimento: il tuo ordine non può essere effettuato. Si prega di tornare all'app e riprovare.
text_browser_payment_method_already_msg,L'ordine è già stato effettuato. Si prega di tornare all'app e riprovare.
text_order_verify_fail,L'ordine non è stato ancora effettuato, si prega di procedere per l'ordine completare il pagamento e quindi verificare l'ordine
app_text_external_web_payment,Facendo clic sul pulsante Procedimento verrai reindirizzato al browser esterno per elaborare il pagamento. Una volta completato il pagamento lì chiudere il browser
app_text_text_state,Stato
app_text_description,Descrizione
app_text_discount,Sconto
app_text_applied,Applicato
app_text_default,Predefinito
app_text_name_asc,Nome (A-Z)
app_text_name_desc,Nome (z-a)
app_text_rating_asc,Valutazione: da basso a alto
app_text_rating_desc,Valutazione: da alto a basso
app_text_model_asc,Modello (A-Z)
app_text_model_desc,Modello (Z-A)
app_text_reference_asc,Riferimento (A-Z)
app_text_reference_asc,Riferimento (A-Z)
app_text_reference_desc,Riferimento (Z-A)
app_text_create_new_account,Crea un nuovo account
app_text_back_login,Torna al login
app_text_guest_login,Accesso ospite
app_text_first_name,Nome di battesimo*
app_text_last_name,Cognome*
app_text_already_have_account,Hai già un account?
app_text_error_firstname,Inserisci il nome.
app_text_error_lastname,Inserisci il cognome.
app_text_error_mobile_number,Inserisci il numero di cellulare.
app_text_my_profile,Il mio profilo
app_text_my_orders,i miei ordini
app_text_my_addresses,I miei indirizzi
app_text_support,Supporto
app_text_account_page_heading,Accedi ai dettagli del tuo account e ai premi
app_text_not,Non
app_text_apple,Mela
app_text_google,Google
app_text_facebook,Facebook
app_text_view_all,Mostra tutto
app_text_error_email_access,Fornire l'accesso e -mail o utilizzare un altro account.
app_text_hi,Ciao
app_text_sold_out,Esaurito
app_text_signup_with_apple,Accedi con Apple
app_text_login_with_apple,Accedi con Apple
app_text_order,Ordine
app_text_order_date,Data dell'ordine
app_text_items,Elementi)
app_text_amount,Importo
error_voucher_not_available,Il voucher non è valido scaduto o ha raggiunto il suo limite di utilizzo!
app_text_review_order,Ordine di revisione
app_text_payment_methods,Modalità di pagamento
app_text_review_order,Ordine di revisione
app_text_payment_methods,Modalità di pagamento
app_text_guest,Ospite
app_text_resend_otp,RECEND OTP
app_text_msg_mobile_number,Inserisci il tuo numero di cellulare
app_text_msg_otp,Un OTP ha inviato Ben al numero:
app_text_msg_resend_otp,Un OTP ha ben risentito al numero:
app_text_confirm_new_password,Conferma la nuova password
app_text_error_facebook_login,Impossibile accedere con Facebook
app_text_sub_total,Totale parziale
app_text_product_total,Totale prodotto
app_text_are_you_sure_you_want_to_exit,Sei sicuro di voler uscire?
text_product_updated,Quantità di prodotto aggiornata con successo !!
error_incorrect_password,Password errata!!
app_text_unit_price,Prezzo unitario
app_text_only_mobile,Mobile
app_text_file_download,File scaricato correttamente su
app_text_video,Allegati video
app_text_agree_to,Accettare i termini e le condizioni
app_text_agree_gdpr,Si prega di controllare la casella di controllo Termini e condizioni !!
app_text_use_current_location,Utilizzare la posizione corrente
app_text_adding,Aggiunta ...
app_text_removing,Rimozione ...
app_text_voucher_adding,Voucher che aggiunge ...
app_text_voucher_removing,Voucher rimozione ...
app_text_mobile,Mobile
app_text_deal_ends,Gli affari finiscono
app_text_expires_in,Scade tra
app_text_register_fingerprint,Registrati per l'accesso alle impronte digitali
app_text_reviews,Recensioni
app_text_loading,Caricamento in corso...
app_text_please_wait,Attendere prego...
app_text_updating_cart,Aggiornamento del carrello ...
app_text_loading_shipping_address,Caricamento dell'indirizzo di spedizione ...
app_text_loading_billing_address,Caricamento dell'indirizzo di fatturazione ...
app_text_removing_product,Rimozione del prodotto ...
app_text_loading_store_data,Caricamento dei dati dell'archivio
app_text_select_country,Per favore seleziona un paese
app_text_select_state,Seleziona uno stato
app_text_delete_account,Eliminare l'account
app_text_delete_account_msg,Sei sicuro di voler eliminare l'account?
app_text_scan_barcode,Ccode a barre di scansione
app_text_camera_loading,Caricamento della fotocamera ...
app_text_camera_permission_not_available,L'autorizzazione della fotocamera non è disponibile
app_text_search_description,Trova quello che stai cercando.
